# train_loss,train_accuracy
7.874225378036499023e-01,5.199999809265136719e-01
7.851277589797973633e-01,4.799999892711639404e-01
7.953444123268127441e-01,3.799999952316284180e-01
7.464780211448669434e-01,5.199999809265136719e-01
7.558976411819458008e-01,5.000000000000000000e-01
7.614143490791320801e-01,4.600000083446502686e-01
7.521258592605590820e-01,5.000000000000000000e-01
7.332119941711425781e-01,6.000000238418579102e-01
7.532643079757690430e-01,4.799999892711639404e-01
7.455731034278869629e-01,4.799999892711639404e-01
7.458282709121704102e-01,5.000000000000000000e-01
7.457330226898193359e-01,5.199999809265136719e-01
7.517294287681579590e-01,4.600000083446502686e-01
7.578626871109008789e-01,4.000000059604644775e-01
7.324007153511047363e-01,5.400000214576721191e-01
7.313369512557983398e-01,6.200000047683715820e-01
7.423948049545288086e-01,5.199999809265136719e-01
7.377229928970336914e-01,5.000000000000000000e-01
7.697485685348510742e-01,3.400000035762786865e-01
7.289158105850219727e-01,5.600000023841857910e-01
7.393631935119628906e-01,5.000000000000000000e-01
7.372090220451354980e-01,5.600000023841857910e-01
7.266956567764282227e-01,6.399999856948852539e-01
7.438624501228332520e-01,5.799999833106994629e-01
7.432219386100769043e-01,5.199999809265136719e-01
7.324870228767395020e-01,5.799999833106994629e-01
7.355707883834838867e-01,5.199999809265136719e-01
7.345523238182067871e-01,5.199999809265136719e-01
7.374995946884155273e-01,5.600000023841857910e-01
7.334434986114501953e-01,6.200000047683715820e-01
7.188714146614074707e-01,6.200000047683715820e-01
7.392722368240356445e-01,4.799999892711639404e-01
7.301879525184631348e-01,5.400000214576721191e-01
7.257348299026489258e-01,6.200000047683715820e-01
7.429395318031311035e-01,6.200000047683715820e-01
7.246967554092407227e-01,5.400000214576721191e-01
7.432298064231872559e-01,5.400000214576721191e-01
7.293238639831542969e-01,5.199999809265136719e-01
7.091362476348876953e-01,5.600000023841857910e-01
7.348448038101196289e-01,6.000000238418579102e-01
7.433938384056091309e-01,5.000000000000000000e-01
7.311781048774719238e-01,5.400000214576721191e-01
7.327307462692260742e-01,4.600000083446502686e-01
7.164826989173889160e-01,6.399999856948852539e-01
7.399572134017944336e-01,6.200000047683715820e-01
7.344905138015747070e-01,5.600000023841857910e-01
7.165204286575317383e-01,5.600000023841857910e-01
7.424654364585876465e-01,5.600000023841857910e-01
7.007214426994323730e-01,6.800000071525573730e-01
7.324434518814086914e-01,5.799999833106994629e-01
7.333177924156188965e-01,6.200000047683715820e-01
7.162779569625854492e-01,5.600000023841857910e-01
7.616882324218750000e-01,5.199999809265136719e-01
7.286873459815979004e-01,5.799999833106994629e-01
6.980426907539367676e-01,6.600000262260437012e-01
7.299371361732482910e-01,6.200000047683715820e-01
7.365193963050842285e-01,5.400000214576721191e-01
7.329490184783935547e-01,5.400000214576721191e-01
7.320280671119689941e-01,5.400000214576721191e-01
7.147049903869628906e-01,6.399999856948852539e-01
7.258118391036987305e-01,5.799999833106994629e-01
7.223197817802429199e-01,5.600000023841857910e-01
7.395690083503723145e-01,5.600000023841857910e-01
7.422096729278564453e-01,5.600000023841857910e-01
6.966797709465026855e-01,6.999999880790710449e-01
7.173328399658203125e-01,5.600000023841857910e-01
7.201626300811767578e-01,6.200000047683715820e-01
7.111454010009765625e-01,5.799999833106994629e-01
7.679250836372375488e-01,4.799999892711639404e-01
7.127897143363952637e-01,6.600000262260437012e-01
6.911967396736145020e-01,6.600000262260437012e-01
7.278580069541931152e-01,6.200000047683715820e-01
7.187708616256713867e-01,6.000000238418579102e-01
7.503530383110046387e-01,5.400000214576721191e-01
7.210673093795776367e-01,6.200000047683715820e-01
7.067497968673706055e-01,6.600000262260437012e-01
7.030563950538635254e-01,6.200000047683715820e-01
7.172008156776428223e-01,6.000000238418579102e-01
7.490579485893249512e-01,5.199999809265136719e-01
7.429302930831909180e-01,5.799999833106994629e-01
6.778699159622192383e-01,7.200000286102294922e-01
6.996686458587646484e-01,6.600000262260437012e-01
7.280632853507995605e-01,6.000000238418579102e-01
6.982430815696716309e-01,6.600000262260437012e-01
7.757660150527954102e-01,4.399999976158142090e-01
6.966880559921264648e-01,6.800000071525573730e-01
6.801109910011291504e-01,6.600000262260437012e-01
7.242472767829895020e-01,5.799999833106994629e-01
6.962665319442749023e-01,6.600000262260437012e-01
7.597557306289672852e-01,5.199999809265136719e-01
7.276772856712341309e-01,5.799999833106994629e-01
6.787572503089904785e-01,6.999999880790710449e-01
7.069121003150939941e-01,6.399999856948852539e-01
7.155437469482421875e-01,5.600000023841857910e-01
7.284427285194396973e-01,6.399999856948852539e-01
7.618967890739440918e-01,5.600000023841857910e-01
6.705828905105590820e-01,7.400000095367431641e-01
6.929388642311096191e-01,6.399999856948852539e-01
7.046658992767333984e-01,6.000000238418579102e-01
6.992453336715698242e-01,6.399999856948852539e-01
7.803027033805847168e-01,4.600000083446502686e-01
7.032577991485595703e-01,6.800000071525573730e-01
6.699122190475463867e-01,6.600000262260437012e-01
7.089310288429260254e-01,6.200000047683715820e-01
6.829733848571777344e-01,6.600000262260437012e-01
7.770931720733642578e-01,5.000000000000000000e-01
7.379698753356933594e-01,6.000000238418579102e-01
6.457767486572265625e-01,6.999999880790710449e-01
7.059505581855773926e-01,6.200000047683715820e-01
7.096846103668212891e-01,5.799999833106994629e-01
7.390466928482055664e-01,6.200000047683715820e-01
7.431329488754272461e-01,5.400000214576721191e-01
6.702307462692260742e-01,6.999999880790710449e-01
6.843507289886474609e-01,6.800000071525573730e-01
7.161704897880554199e-01,5.400000214576721191e-01
6.870642304420471191e-01,6.999999880790710449e-01
7.957572340965270996e-01,4.799999892711639404e-01
6.841608881950378418e-01,6.999999880790710449e-01
6.659709215164184570e-01,6.600000262260437012e-01
7.135713696479797363e-01,6.000000238418579102e-01
6.776341795921325684e-01,6.399999856948852539e-01
7.761815190315246582e-01,4.799999892711639404e-01
7.366252541542053223e-01,6.200000047683715820e-01
6.303045153617858887e-01,7.400000095367431641e-01
7.068377137184143066e-01,6.000000238418579102e-01
7.129656076431274414e-01,5.600000023841857910e-01
7.269764542579650879e-01,6.399999856948852539e-01
7.502128481864929199e-01,5.199999809265136719e-01
6.590574979782104492e-01,7.200000286102294922e-01
6.821840405464172363e-01,6.800000071525573730e-01
7.239293456077575684e-01,5.400000214576721191e-01
6.889953613281250000e-01,6.600000262260437012e-01
7.768432497978210449e-01,5.199999809265136719e-01
6.834110617637634277e-01,7.200000286102294922e-01
6.694702506065368652e-01,6.600000262260437012e-01
7.005373835563659668e-01,6.200000047683715820e-01
6.927726864814758301e-01,6.200000047683715820e-01
7.673468589782714844e-01,4.799999892711639404e-01
7.256609201431274414e-01,6.200000047683715820e-01
6.334401965141296387e-01,6.999999880790710449e-01
6.953192353248596191e-01,6.399999856948852539e-01
7.101567387580871582e-01,5.600000023841857910e-01
7.364916205406188965e-01,6.200000047683715820e-01
7.322534322738647461e-01,5.600000023841857910e-01
6.802304387092590332e-01,6.800000071525573730e-01
6.876747608184814453e-01,6.800000071525573730e-01
6.979945302009582520e-01,5.799999833106994629e-01
6.956741809844970703e-01,6.200000047683715820e-01
7.858245968818664551e-01,5.000000000000000000e-01
6.757318377494812012e-01,7.200000286102294922e-01
6.682474017143249512e-01,6.600000262260437012e-01
6.996965408325195312e-01,6.200000047683715820e-01
6.861152052879333496e-01,6.399999856948852539e-01
7.906642556190490723e-01,4.399999976158142090e-01
6.993613243103027344e-01,6.399999856948852539e-01
6.403477191925048828e-01,6.999999880790710449e-01
6.910983324050903320e-01,6.600000262260437012e-01
7.014551162719726562e-01,5.799999833106994629e-01
7.482972741127014160e-01,5.600000023841857910e-01
7.147939801216125488e-01,5.799999833106994629e-01
6.744618415832519531e-01,6.800000071525573730e-01
6.975942254066467285e-01,6.600000262260437012e-01
6.965495944023132324e-01,6.399999856948852539e-01
6.970421075820922852e-01,6.600000262260437012e-01
7.650265693664550781e-01,5.000000000000000000e-01
6.708942055702209473e-01,7.400000095367431641e-01
6.769191026687622070e-01,6.399999856948852539e-01
6.727297902107238770e-01,6.399999856948852539e-01
7.014544606208801270e-01,6.200000047683715820e-01
7.846693396568298340e-01,4.199999868869781494e-01
6.779395937919616699e-01,6.800000071525573730e-01
6.394203901290893555e-01,6.999999880790710449e-01
6.755998134613037109e-01,6.600000262260437012e-01
7.078969478607177734e-01,5.600000023841857910e-01
7.397079467773437500e-01,5.799999833106994629e-01
7.175121903419494629e-01,5.799999833106994629e-01
6.648377776145935059e-01,6.800000071525573730e-01
6.935259699821472168e-01,6.600000262260437012e-01
6.850423812866210938e-01,6.200000047683715820e-01
7.136548757553100586e-01,6.000000238418579102e-01
7.618514299392700195e-01,5.199999809265136719e-01
6.429188847541809082e-01,7.599999904632568359e-01
6.783325076103210449e-01,6.399999856948852539e-01
6.601302027702331543e-01,6.600000262260437012e-01
7.043619751930236816e-01,6.000000238418579102e-01
7.830838561058044434e-01,4.399999976158142090e-01
6.834278106689453125e-01,6.600000262260437012e-01
6.264962553977966309e-01,7.200000286102294922e-01
6.786218285560607910e-01,6.999999880790710449e-01
6.995575428009033203e-01,5.799999833106994629e-01
7.506868243217468262e-01,5.600000023841857910e-01
7.040566802024841309e-01,5.799999833106994629e-01
6.667097806930541992e-01,6.600000262260437012e-01
6.845762133598327637e-01,6.600000262260437012e-01
6.692550778388977051e-01,6.000000238418579102e-01
7.268297076225280762e-01,5.799999833106994629e-01
7.580857276916503906e-01,5.400000214576721191e-01
6.371260881423950195e-01,7.200000286102294922e-01
6.749241948127746582e-01,6.999999880790710449e-01
6.625428199768066406e-01,6.600000262260437012e-01
6.900202035903930664e-01,7.200000286102294922e-01
7.846112251281738281e-01,4.399999976158142090e-01
6.753947734832763672e-01,6.600000262260437012e-01
6.304665803909301758e-01,6.999999880790710449e-01
6.699339747428894043e-01,6.800000071525573730e-01
6.910490989685058594e-01,6.000000238418579102e-01
7.635161280632019043e-01,5.199999809265136719e-01
7.007492780685424805e-01,5.799999833106994629e-01
6.508308649063110352e-01,6.999999880790710449e-01
6.742513775825500488e-01,6.800000071525573730e-01
6.741130352020263672e-01,6.200000047683715820e-01
7.377550005912780762e-01,5.600000023841857910e-01
7.467209696769714355e-01,5.600000023841857910e-01
6.296710371971130371e-01,7.200000286102294922e-01
6.752433776855468750e-01,6.800000071525573730e-01
6.616901159286499023e-01,6.999999880790710449e-01
6.882460117340087891e-01,6.800000071525573730e-01
7.761292457580566406e-01,4.399999976158142090e-01
6.755600571632385254e-01,6.800000071525573730e-01
6.380099058151245117e-01,6.999999880790710449e-01
6.682603359222412109e-01,6.999999880790710449e-01
6.657423377037048340e-01,6.600000262260437012e-01
7.705731391906738281e-01,5.000000000000000000e-01
7.122474312782287598e-01,5.400000214576721191e-01
6.291911602020263672e-01,7.599999904632568359e-01
6.789402961730957031e-01,6.600000262260437012e-01
6.779499650001525879e-01,5.799999833106994629e-01
7.202783823013305664e-01,6.200000047683715820e-01
7.566673755645751953e-01,5.600000023841857910e-01
6.306179761886596680e-01,7.400000095367431641e-01
6.886347532272338867e-01,6.000000238418579102e-01
6.491881012916564941e-01,7.200000286102294922e-01
6.976441144943237305e-01,6.600000262260437012e-01
7.661555409431457520e-01,4.600000083446502686e-01
6.744717359542846680e-01,6.399999856948852539e-01
6.474071145057678223e-01,6.800000071525573730e-01
6.495365500450134277e-01,7.200000286102294922e-01
6.593406200408935547e-01,6.800000071525573730e-01
7.743912935256958008e-01,4.799999892711639404e-01
7.140412330627441406e-01,5.600000023841857910e-01
6.017372012138366699e-01,7.599999904632568359e-01
6.987965106964111328e-01,6.000000238418579102e-01
6.693034172058105469e-01,6.000000238418579102e-01
7.213441729545593262e-01,6.200000047683715820e-01
7.346585988998413086e-01,5.799999833106994629e-01
6.460770368576049805e-01,7.200000286102294922e-01
6.670719981193542480e-01,6.399999856948852539e-01
6.726757287979125977e-01,6.800000071525573730e-01
6.720733642578125000e-01,7.200000286102294922e-01
7.638348937034606934e-01,4.799999892711639404e-01
6.586369276046752930e-01,6.800000071525573730e-01
6.597957611083984375e-01,6.600000262260437012e-01
6.566453576087951660e-01,6.999999880790710449e-01
6.564011573791503906e-01,6.999999880790710449e-01
7.640121579170227051e-01,5.400000214576721191e-01
6.935562491416931152e-01,6.200000047683715820e-01
5.970264077186584473e-01,7.799999713897705078e-01
6.945132613182067871e-01,6.200000047683715820e-01
6.713098883628845215e-01,5.799999833106994629e-01
7.000920176506042480e-01,6.399999856948852539e-01
7.355661392211914062e-01,5.400000214576721191e-01
6.333988308906555176e-01,6.800000071525573730e-01
6.617014408111572266e-01,6.200000047683715820e-01
6.783973574638366699e-01,6.600000262260437012e-01
6.778171062469482422e-01,6.000000238418579102e-01
7.660393714904785156e-01,5.000000000000000000e-01
6.471080780029296875e-01,6.800000071525573730e-01
6.584181189537048340e-01,6.600000262260437012e-01
6.639308333396911621e-01,6.999999880790710449e-01
6.630874872207641602e-01,7.200000286102294922e-01
7.549313306808471680e-01,5.199999809265136719e-01
6.799902915954589844e-01,6.999999880790710449e-01
6.376687884330749512e-01,6.999999880790710449e-01
6.794903278350830078e-01,6.800000071525573730e-01
6.596758365631103516e-01,6.800000071525573730e-01
7.190073132514953613e-01,6.000000238418579102e-01
6.882131099700927734e-01,6.200000047683715820e-01
6.771858334541320801e-01,6.999999880790710449e-01
6.826670169830322266e-01,6.200000047683715820e-01
7.191147804260253906e-01,6.000000238418579102e-01
8.199458718299865723e-01,4.600000083446502686e-01
8.397248387336730957e-01,4.000000059604644775e-01
7.412343025207519531e-01,4.799999892711639404e-01
7.241173982620239258e-01,5.000000000000000000e-01
7.111549973487854004e-01,6.399999856948852539e-01
