# train_loss,train_accuracy
7.440720200538635254e-01,5.000000000000000000e-01
7.115406990051269531e-01,5.600000023841857910e-01
7.217516303062438965e-01,5.600000023841857910e-01
7.080878019332885742e-01,6.399999856948852539e-01
7.112235426902770996e-01,6.600000262260437012e-01
7.380858063697814941e-01,4.799999892711639404e-01
7.354202866554260254e-01,4.199999868869781494e-01
6.897957921028137207e-01,6.800000071525573730e-01
7.139023542404174805e-01,5.600000023841857910e-01
7.094861268997192383e-01,6.200000047683715820e-01
7.594881653785705566e-01,4.799999892711639404e-01
7.351555824279785156e-01,4.600000083446502686e-01
7.202179431915283203e-01,5.400000214576721191e-01
6.945196986198425293e-01,6.200000047683715820e-01
7.146260142326354980e-01,6.600000262260437012e-01
7.265341281890869141e-01,5.400000214576721191e-01
7.390330433845520020e-01,4.399999976158142090e-01
6.974285840988159180e-01,5.600000023841857910e-01
7.011615037918090820e-01,6.399999856948852539e-01
7.099482417106628418e-01,6.000000238418579102e-01
7.247357368469238281e-01,5.000000000000000000e-01
7.358819246292114258e-01,5.000000000000000000e-01
7.441079616546630859e-01,5.000000000000000000e-01
6.843037009239196777e-01,6.999999880790710449e-01
7.163004875183105469e-01,5.799999833106994629e-01
6.796720623970031738e-01,6.800000071525573730e-01
8.405837416648864746e-01,5.600000023841857910e-01
8.105620145797729492e-01,5.600000023841857910e-01
8.146092891693115234e-01,5.199999809265136719e-01
7.281796932220458984e-01,5.199999809265136719e-01
1.440833330154418945e+00,5.199999809265136719e-01
8.159497976303100586e-01,5.199999809265136719e-01
7.511589527130126953e-01,5.600000023841857910e-01
8.071310520172119141e-01,4.799999892711639404e-01
7.314825654029846191e-01,5.400000214576721191e-01
7.139024734497070312e-01,6.000000238418579102e-01
6.848988533020019531e-01,7.400000095367431641e-01
8.697364330291748047e-01,4.399999976158142090e-01
8.470193147659301758e-01,3.799999952316284180e-01
7.281686663627624512e-01,5.400000214576721191e-01
7.311222553253173828e-01,6.000000238418579102e-01
7.058010101318359375e-01,5.000000000000000000e-01
7.375143766403198242e-01,5.799999833106994629e-01
7.497184872627258301e-01,5.199999809265136719e-01
7.421306967735290527e-01,5.199999809265136719e-01
7.275332212448120117e-01,5.000000000000000000e-01
7.180862426757812500e-01,5.199999809265136719e-01
6.956067681312561035e-01,5.400000214576721191e-01
7.602235078811645508e-01,4.600000083446502686e-01
7.491841912269592285e-01,4.199999868869781494e-01
