# train_loss,train_accuracy
8.764666318893432617e-01,5.000000000000000000e-01
9.193181991577148438e-01,4.399999976158142090e-01
8.233281373977661133e-01,5.400000214576721191e-01
7.887451052665710449e-01,5.600000023841857910e-01
8.436666131019592285e-01,4.600000083446502686e-01
7.983583211898803711e-01,5.199999809265136719e-01
8.307320475578308105e-01,4.399999976158142090e-01
7.969369888305664062e-01,4.799999892711639404e-01
7.612453103065490723e-01,5.400000214576721191e-01
7.629725337028503418e-01,5.000000000000000000e-01
7.631500959396362305e-01,5.000000000000000000e-01
7.569444179534912109e-01,5.199999809265136719e-01
7.525775432586669922e-01,4.799999892711639404e-01
7.595808506011962891e-01,4.399999976158142090e-01
7.685511112213134766e-01,3.600000143051147461e-01
7.377177476882934570e-01,6.800000071525573730e-01
7.602193355560302734e-01,5.199999809265136719e-01
7.388694286346435547e-01,5.600000023841857910e-01
7.660164237022399902e-01,4.399999976158142090e-01
7.648336291313171387e-01,4.399999976158142090e-01
7.466515302658081055e-01,5.400000214576721191e-01
7.568448781967163086e-01,4.600000083446502686e-01
7.373234629631042480e-01,5.799999833106994629e-01
7.437464594841003418e-01,5.400000214576721191e-01
7.651179432868957520e-01,4.199999868869781494e-01
7.436292767524719238e-01,5.400000214576721191e-01
7.551381587982177734e-01,4.600000083446502686e-01
7.444086670875549316e-01,5.199999809265136719e-01
7.364631891250610352e-01,5.799999833106994629e-01
7.576479315757751465e-01,4.399999976158142090e-01
7.560945749282836914e-01,4.399999976158142090e-01
7.366016507148742676e-01,5.799999833106994629e-01
7.458756566047668457e-01,5.000000000000000000e-01
7.409734725952148438e-01,5.400000214576721191e-01
7.501825094223022461e-01,5.000000000000000000e-01
7.561354041099548340e-01,4.000000059604644775e-01
7.385473847389221191e-01,5.600000023841857910e-01
7.482997775077819824e-01,4.600000083446502686e-01
7.384411692619323730e-01,5.799999833106994629e-01
7.387635707855224609e-01,5.600000023841857910e-01
7.516999840736389160e-01,4.000000059604644775e-01
7.434038519859313965e-01,5.199999809265136719e-01
7.432685494422912598e-01,5.000000000000000000e-01
7.417807579040527344e-01,5.000000000000000000e-01
7.380403280258178711e-01,5.799999833106994629e-01
7.466204166412353516e-01,4.399999976158142090e-01
7.449903488159179688e-01,4.600000083446502686e-01
7.386895418167114258e-01,5.400000214576721191e-01
7.398647665977478027e-01,5.199999809265136719e-01
7.404550313949584961e-01,5.400000214576721191e-01
7.433933615684509277e-01,5.199999809265136719e-01
7.455472350120544434e-01,3.799999952316284180e-01
7.391839027404785156e-01,5.400000214576721191e-01
7.402240037918090820e-01,5.400000214576721191e-01
7.392431497573852539e-01,6.000000238418579102e-01
7.387535572052001953e-01,5.799999833106994629e-01
7.424891591072082520e-01,3.199999928474426270e-01
7.400518655776977539e-01,5.799999833106994629e-01
7.387770414352416992e-01,5.000000000000000000e-01
7.383814454078674316e-01,5.600000023841857910e-01
7.380782365798950195e-01,6.399999856948852539e-01
7.404029369354248047e-01,4.000000059604644775e-01
7.400462627410888672e-01,5.600000023841857910e-01
7.361040711402893066e-01,5.799999833106994629e-01
7.364610433578491211e-01,5.400000214576721191e-01
7.388591170310974121e-01,5.600000023841857910e-01
7.403372526168823242e-01,4.600000083446502686e-01
7.398574948310852051e-01,4.799999892711639404e-01
