# train_loss,train_accuracy
1.589013576507568359e+00,4.799999892711639404e-01
1.872036337852478027e+00,3.799999952316284180e-01
1.458508968353271484e+00,5.199999809265136719e-01
1.455123305320739746e+00,5.199999809265136719e-01
9.974805116653442383e-01,6.800000071525573730e-01
1.710247039794921875e+00,4.199999868869781494e-01
1.701124787330627441e+00,4.199999868869781494e-01
1.637682914733886719e+00,4.399999976158142090e-01
1.414654374122619629e+00,5.199999809265136719e-01
8.080581426620483398e-01,7.400000095367431641e-01
1.740937590599060059e+00,3.799999952316284180e-01
1.569841146469116211e+00,4.399999976158142090e-01
1.547489404678344727e+00,4.399999976158142090e-01
1.386393547058105469e+00,5.000000000000000000e-01
9.383789896965026855e-01,6.600000262260437012e-01
1.320314168930053711e+00,4.600000083446502686e-01
1.251724720001220703e+00,5.000000000000000000e-01
1.324142098426818848e+00,3.600000143051147461e-01
9.254391193389892578e-01,5.400000214576721191e-01
8.220490217208862305e-01,5.199999809265136719e-01
7.351883649826049805e-01,5.799999833106994629e-01
7.416006922721862793e-01,5.000000000000000000e-01
7.445839047431945801e-01,5.600000023841857910e-01
7.677844166755676270e-01,5.400000214576721191e-01
8.104620575904846191e-01,5.000000000000000000e-01
1.036868572235107422e+00,2.399999946355819702e-01
7.069944143295288086e-01,6.600000262260437012e-01
8.050562143325805664e-01,5.400000214576721191e-01
7.693331241607666016e-01,5.600000023841857910e-01
8.486539125442504883e-01,4.799999892711639404e-01
9.667434096336364746e-01,3.600000143051147461e-01
8.214730024337768555e-01,5.400000214576721191e-01
8.444525003433227539e-01,4.799999892711639404e-01
6.686375737190246582e-01,6.800000071525573730e-01
8.765047192573547363e-01,4.399999976158142090e-01
8.088437318801879883e-01,5.000000000000000000e-01
9.294283986091613770e-01,3.199999928474426270e-01
7.199642658233642578e-01,6.000000238418579102e-01
7.174215912818908691e-01,6.200000047683715820e-01
7.503942251205444336e-01,5.000000000000000000e-01
7.401432394981384277e-01,5.600000023841857910e-01
8.353214859962463379e-01,3.400000035762786865e-01
7.147639393806457520e-01,5.600000023841857910e-01
7.382149696350097656e-01,5.000000000000000000e-01
7.154772877693176270e-01,6.000000238418579102e-01
7.429738044738769531e-01,5.400000214576721191e-01
