# train_loss,train_accuracy
7.808325886726379395e-01,5.799999833106994629e-01
8.313370347023010254e-01,5.000000000000000000e-01
8.203508853912353516e-01,4.799999892711639404e-01
7.522360682487487793e-01,5.600000023841857910e-01
8.227810859680175781e-01,4.000000059604644775e-01
7.541208863258361816e-01,5.199999809265136719e-01
7.270645499229431152e-01,6.000000238418579102e-01
7.666764855384826660e-01,4.199999868869781494e-01
7.336576581001281738e-01,5.400000214576721191e-01
7.584096789360046387e-01,4.199999868869781494e-01
7.320108413696289062e-01,5.799999833106994629e-01
7.439230680465698242e-01,5.000000000000000000e-01
7.342514395713806152e-01,6.200000047683715820e-01
7.328541278839111328e-01,6.200000047683715820e-01
7.239195108413696289e-01,6.600000262260437012e-01
7.305203676223754883e-01,5.600000023841857910e-01
7.626720070838928223e-01,4.000000059604644775e-01
7.368506193161010742e-01,5.400000214576721191e-01
7.242474555969238281e-01,5.000000000000000000e-01
7.422084808349609375e-01,4.600000083446502686e-01
7.195149064064025879e-01,6.000000238418579102e-01
7.563971877098083496e-01,4.399999976158142090e-01
7.595784068107604980e-01,4.399999976158142090e-01
7.148799896240234375e-01,5.400000214576721191e-01
7.304264903068542480e-01,4.199999868869781494e-01
7.174872159957885742e-01,6.800000071525573730e-01
7.425873875617980957e-01,4.799999892711639404e-01
7.513142824172973633e-01,5.000000000000000000e-01
7.242758274078369141e-01,6.000000238418579102e-01
7.166959047317504883e-01,6.800000071525573730e-01
7.238680720329284668e-01,6.399999856948852539e-01
7.319788932800292969e-01,4.600000083446502686e-01
7.409803867340087891e-01,5.199999809265136719e-01
7.330737709999084473e-01,5.400000214576721191e-01
7.193830013275146484e-01,6.800000071525573730e-01
7.165672183036804199e-01,6.399999856948852539e-01
7.367396354675292969e-01,5.199999809265136719e-01
7.294002175331115723e-01,5.400000214576721191e-01
7.360505461692810059e-01,5.400000214576721191e-01
7.206878662109375000e-01,6.399999856948852539e-01
7.055391669273376465e-01,6.800000071525573730e-01
7.217503190040588379e-01,6.000000238418579102e-01
7.428667545318603516e-01,4.399999976158142090e-01
7.379291057586669922e-01,5.400000214576721191e-01
7.187491655349731445e-01,6.399999856948852539e-01
6.996928453445434570e-01,7.599999904632568359e-01
7.221518754959106445e-01,5.600000023841857910e-01
7.301048040390014648e-01,4.799999892711639404e-01
7.418473362922668457e-01,5.000000000000000000e-01
7.339448928833007812e-01,5.400000214576721191e-01
6.990059018135070801e-01,6.399999856948852539e-01
7.079542875289916992e-01,6.399999856948852539e-01
7.382708191871643066e-01,5.000000000000000000e-01
7.241361141204833984e-01,5.600000023841857910e-01
7.353072166442871094e-01,5.400000214576721191e-01
7.107131481170654297e-01,5.799999833106994629e-01
6.929099559783935547e-01,6.800000071525573730e-01
7.169700860977172852e-01,6.000000238418579102e-01
7.380828857421875000e-01,4.600000083446502686e-01
7.371392250061035156e-01,5.199999809265136719e-01
7.095082402229309082e-01,6.399999856948852539e-01
